episode,reward,steps,completed_lap,collisions,epsilon
474,4868.7345008659395,1171,1,15,0.24071604525293439
475,3183.406025233278,683,1,5,0.2399938971171756
476,4377.049996147174,1007,1,12,0.23927391542582405
477,3099.512089366925,664,1,4,0.23855609367954658
478,4018.6724710464596,920,1,10,0.23784042539850794
479,3121.073072948464,683,1,7,0.2371269041223124
480,3297.1320211029147,752,1,10,0.23641552340994548
481,3227.227920093541,723,1,8,0.23570627683971565
482,3483.1538873863315,779,1,8,0.2349991580091965
483,3679.667329883587,810,1,7,0.2342941605351689
484,4393.87970536234,996,1,12,0.23359127805356342
485,3838.3362950897344,862,1,8,0.23289050421940272
486,4384.87927415849,1066,1,14,0.2321918327067445
487,3166.3013649273003,671,1,6,0.23149525720862427
488,9874.03094482414,2500,0,39,0.2308007714369984
489,5968.206398277273,1481,1,20,0.2301083691226874
490,3289.3677198600867,764,1,8,0.22941804401531934
491,4928.177187347417,1185,1,16,0.2287297898832734
492,4914.173851432796,1163,1,16,0.22804360051362357
493,3033.066960754398,683,1,6,0.2273594697120827
494,4160.619355011001,975,1,12,0.22667739130294645
495,3161.0887279129115,707,1,6,0.22599735912903762
496,2721.6882378769005,624,1,6,0.2253193670516505
497,3181.5154239845365,684,1,6,0.22464340895049556
498,3789.456110019694,874,1,10,0.22396947872364406
499,3302.608024311076,775,1,9,0.22329757028747313
500,3496.0959514427313,771,1,8,0.2226276775766107
501,4002.543017244357,930,1,11,0.22195979454388087
502,3055.3167306900114,720,1,8,0.22129391516024924
503,4346.649924879093,1156,1,18,0.2206300334147685
504,5014.775964088447,1304,1,18,0.2199681433145242
505,5188.06596042632,1269,1,17,0.21930823888458062
506,4323.964044609092,1053,1,15,0.21865031416792688
507,4544.843713293086,1087,1,13,0.2179943632254231
508,3928.187487392438,931,1,10,0.21734038013574683
509,3203.440240211497,729,1,8,0.21668835899533959
510,2705.795599374779,567,1,3,0.21603829391835358
511,3029.4917131328657,693,1,6,0.21539017903659852
512,3319.4673779296972,816,1,9,0.21474400849948871
513,2715.2195958900556,631,1,6,0.21409977647399026
514,6831.096381072947,1741,1,25,0.21345747714456828
515,3215.7795921039688,754,1,7,0.21281710471313459
516,3362.0667368316776,788,1,9,0.2121786533989952
517,4886.332949733734,1185,1,15,0.2115421174387982
518,5823.564848289462,1397,1,18,0.2109074910864818
519,4732.6653265762425,1216,1,18,0.21027476861322236
520,4270.568454360978,1005,1,12,0.2096439443073827
521,3132.8507721138103,679,1,7,0.20901501247446055
522,2567.285353603368,503,1,1,0.20838796743703716
523,7260.541364993999,1808,1,25,0.20776280353472606
524,3645.3077982711893,861,1,10,0.20713951512412188
525,2950.179698410043,683,1,6,0.2065180965787495
526,3132.9033040428208,703,1,6,0.20589854228901325
527,3714.5661069870134,870,1,10,0.20528084666214622
528,2841.806045989998,576,1,4,0.20466500412215977
529,3044.821743326192,706,1,8,0.2040510091097933
530,2982.2152237320047,658,1,8,0.2034388560824639
531,5410.8691836547805,1424,1,21,0.2028285395142165
532,3488.10384201051,833,1,9,0.20222005389567385
533,3471.649818038955,760,1,7,0.20161339373398682
534,4306.420131320974,1029,1,14,0.20100855355278485
535,3602.1901047420574,824,1,8,0.20040552789212648
536,3693.6121825409105,844,1,10,0.1998043113084501
537,3419.999059104931,795,1,8,0.19920489837452476
